old_id,new_id
BLA_QFABRIC_R097,AE_Q200
BLA_QFABRIC_R099,AE_Q201
BLA_QFABRIC_R116,AE_Q202
BLA_QFABRIC_R120,AE_Q203
BLA_QFABRIC_R223,AE_Q204
BLA_QFABRIC_R014,AO_Q200
BLA_QFABRIC_R015,AO_Q201
BLA_QFABRIC_R001,AU_Q200
BLA_QFABRIC_R002,AU_Q201
BLA_QFABRIC_R003,AU_Q202
BLA_QFABRIC_R004,AU_Q203
BLA_QFABRIC_R005,AU_Q204
BLA_QFABRIC_R007,AU_Q205
BLA_QFABRIC_R008,AU_Q206
BLA_QFABRIC_R009,AU_Q207
BLA_QFABRIC_R025,AU_Q208
BLA_QFABRIC_R088,BD_Q200
BLA_QFABRIC_R093,BD_Q201
BLA_QFABRIC_R094,BD_Q202
BLA_QFABRIC_R030,CI_Q200
BLA_QFABRIC_R031,CI_Q201
BLA_QFABRIC_R032,CI_Q202
BLA_QFABRIC_R033,CI_Q203
BLA_QFABRIC_R034,CI_Q204
BLA_QFABRIC_R035,CI_Q205
BLA_QFABRIC_R080,CN_Q200
BLA_QFABRIC_R082,CN_Q201
BLA_QFABRIC_R083,CN_Q202
BLA_QFABRIC_R084,CN_Q203
BLA_QFABRIC_R085,CN_Q204
BLA_QFABRIC_R086,CN_Q205
BLA_QFABRIC_R092,CN_Q206
BLA_QFABRIC_R098,CN_Q207
BLA_QFABRIC_R100,CN_Q208
BLA_QFABRIC_R102,CN_Q209
BLA_QFABRIC_R103,CN_Q210
BLA_QFABRIC_R104,CN_Q211
BLA_QFABRIC_R105,CN_Q212
BLA_QFABRIC_R106,CN_Q213
BLA_QFABRIC_R110,CN_Q214
BLA_QFABRIC_R112,CN_Q215
BLA_QFABRIC_R118,CN_Q216
BLA_QFABRIC_R119,CN_Q217
BLA_QFABRIC_R121,CN_Q218
BLA_QFABRIC_R126,CN_Q219
BLA_QFABRIC_R128,CN_Q220
BLA_QFABRIC_R129,CN_Q221
BLA_QFABRIC_R130,CN_Q222
BLA_QFABRIC_R131,CN_Q223
BLA_QFABRIC_R132,CN_Q224
BLA_QFABRIC_R133,CN_Q225
BLA_QFABRIC_R135,CN_Q226
BLA_QFABRIC_R137,CN_Q227
BLA_QFABRIC_R138,CN_Q228
BLA_QFABRIC_R139,CN_Q229
BLA_QFABRIC_R140,CN_Q230
BLA_QFABRIC_R141,CN_Q231
BLA_QFABRIC_R142,CN_Q232
BLA_QFABRIC_R143,CN_Q233
BLA_QFABRIC_R144,CN_Q234
BLA_QFABRIC_R145,CN_Q235
BLA_QFABRIC_R146,CN_Q236
BLA_QFABRIC_R147,CN_Q237
BLA_QFABRIC_R148,CN_Q238
BLA_QFABRIC_R149,CN_Q239
BLA_QFABRIC_R150,CN_Q240
BLA_QFABRIC_R152,CN_Q241
BLA_QFABRIC_R154,CN_Q242
BLA_QFABRIC_R155,CN_Q243
BLA_QFABRIC_R156,CN_Q244
BLA_QFABRIC_R157,CN_Q245
BLA_QFABRIC_R160,CN_Q246
BLA_QFABRIC_R161,CN_Q247
BLA_QFABRIC_R162,CN_Q248
BLA_QFABRIC_R163,CN_Q249
BLA_QFABRIC_R165,CN_Q250
BLA_QFABRIC_R166,CN_Q251
BLA_QFABRIC_R184,CN_Q252
BLA_QFABRIC_R185,CN_Q253
BLA_QFABRIC_R189,CN_Q254
BLA_QFABRIC_R190,CN_Q255
BLA_QFABRIC_R191,CN_Q256
BLA_QFABRIC_R193,CN_Q257
BLA_QFABRIC_R194,CN_Q258
BLA_QFABRIC_R196,CN_Q259
BLA_QFABRIC_R197,CN_Q260
BLA_QFABRIC_R198,CN_Q261
BLA_QFABRIC_R204,CN_Q262
BLA_QFABRIC_R205,CN_Q263
BLA_QFABRIC_R206,CN_Q264
BLA_QFABRIC_R207,CN_Q265
BLA_QFABRIC_R208,CN_Q266
BLA_QFABRIC_R209,CN_Q267
BLA_QFABRIC_R210,CN_Q268
BLA_QFABRIC_R211,CN_Q269
BLA_QFABRIC_R212,CN_Q270
BLA_QFABRIC_R213,CN_Q271
BLA_QFABRIC_R218,CN_Q272
BLA_QFABRIC_R219,CN_Q273
BLA_QFABRIC_R220,CN_Q274
BLA_QFABRIC_R221,CN_Q275
BLA_QFABRIC_R222,CN_Q276
BLA_QFABRIC_R224,CN_Q277
BLA_QFABRIC_R225,CN_Q278
BLA_QFABRIC_R226,CN_Q279
BLA_QFABRIC_R227,CN_Q280
BLA_QFABRIC_R229,CN_Q281
BLA_QFABRIC_R230,CN_Q282
BLA_QFABRIC_R231,CN_Q283
BLA_QFABRIC_R232,CN_Q284
BLA_QFABRIC_R233,CN_Q285
BLA_QFABRIC_R234,CN_Q286
BLA_QFABRIC_R235,CN_Q287
BLA_QFABRIC_R242,CN_Q288
BLA_QFABRIC_R244,CN_Q289
BLA_QFABRIC_R245,CN_Q290
BLA_QFABRIC_R246,CN_Q291
BLA_QFABRIC_R247,CN_Q292
BLA_QFABRIC_R249,CN_Q293
BLA_QFABRIC_R251,CN_Q294
BLA_QFABRIC_R252,CN_Q295
BLA_QFABRIC_R253,CN_Q296
BLA_QFABRIC_R256,CN_Q297
BLA_QFABRIC_R259,CN_Q298
BLA_QFABRIC_R261,CN_Q299
BLA_QFABRIC_R262,CN_Q300
BLA_QFABRIC_R263,CN_Q301
BLA_QFABRIC_R271,CN_Q302
BLA_QFABRIC_R273,CN_Q303
BLA_QFABRIC_R274,CN_Q304
BLA_QFABRIC_R276,CN_Q305
BLA_QFABRIC_R277,CN_Q306
BLA_QFABRIC_R280,CN_Q307
BLA_QFABRIC_R281,CN_Q308
BLA_QFABRIC_R286,CN_Q309
BLA_QFABRIC_R293,CN_Q310
BLA_QFABRIC_R294,CN_Q311
BLA_QFABRIC_R295,CN_Q312
BLA_QFABRIC_R296,CN_Q313
BLA_QFABRIC_R300,CN_Q314
BLA_QFABRIC_R307,CN_Q315
BLA_QFABRIC_R309,CN_Q316
BLA_QFABRIC_R312,CN_Q317
BLA_QFABRIC_R313,CN_Q318
BLA_QFABRIC_R314,CN_Q319
BLA_QFABRIC_R318,CN_Q320
BLA_QFABRIC_R319,CN_Q321
BLA_QFABRIC_R324,CN_Q322
BLA_QFABRIC_R329,CN_Q323
BLA_QFABRIC_R330,CN_Q324
BLA_QFABRIC_R336,CN_Q325
BLA_QFABRIC_R337,CN_Q326
BLA_QFABRIC_R341,CN_Q327
BLA_QFABRIC_R344,CN_Q328
BLA_QFABRIC_R347,CN_Q329
BLA_QFABRIC_R349,CN_Q330
BLA_QFABRIC_R350,CN_Q331
BLA_QFABRIC_R351,CN_Q332
BLA_QFABRIC_R352,CN_Q333
BLA_QFABRIC_R354,CN_Q334
BLA_QFABRIC_R356,CN_Q335
BLA_QFABRIC_R358,CN_Q336
BLA_QFABRIC_R360,CN_Q337
BLA_QFABRIC_R362,CN_Q338
BLA_QFABRIC_R365,CN_Q339
BLA_QFABRIC_R373,CN_Q340
BLA_QFABRIC_R375,CN_Q341
BLA_QFABRIC_R378,CN_Q342
BLA_QFABRIC_R387,CN_Q343
BLA_QFABRIC_R388,CN_Q344
BLA_QFABRIC_R392,CN_Q345
BLA_QFABRIC_R397,CN_Q346
BLA_QFABRIC_R399,CN_Q347
BLA_QFABRIC_R402,CN_Q348
BLA_QFABRIC_R404,CN_Q349
BLA_QFABRIC_R405,CN_Q350
BLA_QFABRIC_R406,CN_Q351
BLA_QFABRIC_R414,CN_Q352
BLA_QFABRIC_R416,CN_Q353
BLA_QFABRIC_R417,CN_Q354
BLA_QFABRIC_R418,CN_Q355
BLA_QFABRIC_R420,CN_Q356
BLA_QFABRIC_R422,CN_Q357
BLA_QFABRIC_R428,CN_Q358
BLA_QFABRIC_R429,CN_Q359
BLA_QFABRIC_R431,CN_Q360
BLA_QFABRIC_R442,CN_Q361
BLA_QFABRIC_R445,CN_Q362
BLA_QFABRIC_R446,CN_Q363
BLA_QFABRIC_R447,CN_Q364
BLA_QFABRIC_R448,CN_Q365
BLA_QFABRIC_R449,CN_Q366
BLA_QFABRIC_R468,CN_Q367
BLA_QFABRIC_R471,CN_Q368
BLA_QFABRIC_R497,CN_Q369
BLA_QFABRIC_R502,CN_Q370
BLA_QFABRIC_R411,DZ_Q200
BLA_QFABRIC_R236,EG_Q200
BLA_QFABRIC_R237,EG_Q201
BLA_QFABRIC_R036,ET_Q200
BLA_QFABRIC_R037,ET_Q201
BLA_QFABRIC_R038,ET_Q202
BLA_QFABRIC_R039,ET_Q203
BLA_QFABRIC_R040,IN_Q200
BLA_QFABRIC_R041,IN_Q201
BLA_QFABRIC_R042,IN_Q202
BLA_QFABRIC_R043,IN_Q203
BLA_QFABRIC_R044,IN_Q204
BLA_QFABRIC_R045,IN_Q205
BLA_QFABRIC_R047,IN_Q206
BLA_QFABRIC_R048,IN_Q207
BLA_QFABRIC_R049,IN_Q208
BLA_QFABRIC_R050,IN_Q209
BLA_QFABRIC_R051,IN_Q210
BLA_QFABRIC_R052,IN_Q211
BLA_QFABRIC_R055,IN_Q212
BLA_QFABRIC_R063,IN_Q213
BLA_QFABRIC_R064,IN_Q214
BLA_QFABRIC_R067,IN_Q215
BLA_QFABRIC_R068,IN_Q216
BLA_QFABRIC_R069,IN_Q217
BLA_QFABRIC_R070,IN_Q218
BLA_QFABRIC_R071,IN_Q219
BLA_QFABRIC_R072,IN_Q220
BLA_QFABRIC_R073,IN_Q221
BLA_QFABRIC_R074,IN_Q222
BLA_QFABRIC_R075,IN_Q223
BLA_QFABRIC_R076,IN_Q224
BLA_QFABRIC_R078,IN_Q225
BLA_QFABRIC_R167,IN_Q226
BLA_QFABRIC_R172,IN_Q227
BLA_QFABRIC_R175,IN_Q228
BLA_QFABRIC_R176,IN_Q229
BLA_QFABRIC_R177,IN_Q230
